from,to,symbol,quantity,date
spi-payments,dkid14,HIVE,0.058,2020-09-21
spi-payments,wongbraling,HIVE,0.028,2020-09-21
spi-payments,felander,HIVE,0.688,2020-09-21
spi-payments,edthecanadian,HIVE,0.116,2020-09-21
spi-payments,theb0red1,HIVE,0.275,2020-09-21
spi-payments,oscarps,HIVE,0.275,2020-09-21
spi-payments,underground,HIVE,0.825,2020-09-21
spi-payments,chronocrypto,HIVE,1.375,2020-09-21
spi-payments,gattino,HIVE,0.154,2020-09-21
spi-payments,brofund,HIVE,2.751,2020-09-21
spi-payments,roleerob,HIVE,2.751,2020-09-21
spi-payments,taskmaster4450,HIVE,1.375,2020-09-21
spi-payments,ericburgoyne,HIVE,0.013,2020-09-21
spi-payments,shanibeer,HIVE,1.375,2020-09-21
spi-payments,spirall,HIVE,0.083,2020-09-21
spi-payments,jznsamuel,HIVE,0.275,2020-09-21
spi-payments,metzli,HIVE,0.055,2020-09-21
spi-payments,flemingfarm,HIVE,0.55,2020-09-21
spi-payments,chrisparis,HIVE,0.963,2020-09-21
spi-payments,knowhow92,HIVE,0.275,2020-09-21
spi-payments,cmplxty,HIVE,0.063,2020-09-21
spi-payments,silverstackeruk,HIVE,1.045,2020-09-21
spi-payments,a1-shroom-spores,HIVE,0.014,2020-09-21
spi-payments,eirik,HIVE,0.002,2020-09-28
spi-payments,ericburgoyne,HIVE,0.202,2020-09-28
spi-payments,felander,HIVE,0.592,2020-09-28
spi-payments,dadapizza,HIVE,0.012,2020-09-28
spi-payments,wongbraling,HIVE,0.024,2020-09-28
spi-payments,bold-n-italics,HIVE,0.005,2020-09-28
spi-payments,coronadino,HIVE,0.118,2020-09-28
spi-payments,edthecanadian,HIVE,0.099,2020-09-28
spi-payments,invest4free,HIVE,0.008,2020-09-28
spi-payments,theb0red1,HIVE,0.237,2020-09-28
spi-payments,brofund,HIVE,2.368,2020-09-28
spi-payments,underground,HIVE,0.71,2020-09-28
spi-payments,chronocrypto,HIVE,1.184,2020-09-28
spi-payments,gattino,HIVE,0.133,2020-09-28
spi-payments,roleerob,HIVE,2.368,2020-09-28
spi-payments,taskmaster4450,HIVE,1.184,2020-09-28
spi-payments,a1-shroom-spores,HIVE,0.012,2020-09-28
spi-payments,shanibeer,HIVE,1.184,2020-09-28
spi-payments,preparedwombat,HIVE,0.004,2020-09-28
spi-payments,lammbock,HIVE,0.013,2020-09-28
spi-payments,oscarps,HIVE,0.237,2020-09-28
spi-payments,spirall,HIVE,0.071,2020-09-28
spi-payments,jznsamuel,HIVE,0.419,2020-09-28
spi-payments,silverstackeruk,HIVE,1.184,2020-09-28
spi-payments,cmplxty,HIVE,0.118,2020-09-28
spi-payments,knowhow92,HIVE,0.237,2020-09-28
spi-payments,chrisparis,HIVE,0.829,2020-09-28
spi-payments,dkid14,HIVE,0.05,2020-09-28
spi-payments,flemingfarm,HIVE,0.474,2020-09-28
spi-payments,metzli,HIVE,0.176,2020-09-28
spi-payments,shanibeer,HIVE,1.188,2020-10-05
spi-payments,brofund,HIVE,2.376,2020-10-05
spi-payments,roleerob,HIVE,2.376,2020-10-05
spi-payments,taskmaster4450,HIVE,1.273,2020-10-05
spi-payments,a1-shroom-spores,HIVE,0.013,2020-10-05
spi-payments,preparedwombat,HIVE,0.005,2020-10-05
spi-payments,spirall,HIVE,0.071,2020-10-05
spi-payments,jznsamuel,HIVE,0.475,2020-10-05
spi-payments,chrisparis,HIVE,0.832,2020-10-05
spi-payments,flemingfarm,HIVE,0.475,2020-10-05
spi-payments,dkid14,HIVE,0.05,2020-10-05
spi-payments,gattino,HIVE,0.133,2020-10-05
spi-payments,knowhow92,HIVE,0.238,2020-10-05
spi-payments,cmplxty,HIVE,0.119,2020-10-05
spi-payments,silverstackeruk,HIVE,1.188,2020-10-05
spi-payments,metzli,HIVE,0.238,2020-10-05
spi-payments,chronocrypto,HIVE,1.275,2020-10-05
spi-payments,theb0red1,HIVE,0.238,2020-10-05
spi-payments,oscarps,HIVE,0.238,2020-10-05
spi-payments,sevenoh-fiveoh,HIVE,0.003,2020-10-05
spi-payments,ykretz,HIVE,0.003,2020-10-05
spi-payments,lammbock,HIVE,0.062,2020-10-05
spi-payments,dadapizza,HIVE,0.038,2020-10-05
spi-payments,underground,HIVE,0.713,2020-10-05
spi-payments,bold-n-italics,HIVE,0.029,2020-10-05
spi-payments,wongbraling,HIVE,0.024,2020-10-05
spi-payments,coronadino,HIVE,0.136,2020-10-05
spi-payments,invest4free,HIVE,0.01,2020-10-05
spi-payments,felander,HIVE,0.594,2020-10-05
spi-payments,ericburgoyne,HIVE,0.469,2020-10-05
spi-payments,eirik,HIVE,0.008,2020-10-05
spi-payments,edthecanadian,HIVE,0.1,2020-10-05
spi-payments,edthecanadian,HIVE,0.001,2020-10-12
spi-payments,lammbock,HIVE,0.001,2020-10-12
spi-payments,discohedge,HIVE,0.001,2020-10-12
spi-payments,felander,HIVE,0.006,2020-10-12
spi-payments,ericburgoyne,HIVE,0.005,2020-10-12
spi-payments,coronadino,HIVE,0.001,2020-10-12
spi-payments,theb0red1,HIVE,0.002,2020-10-12
spi-payments,shanibeer,HIVE,0.012,2020-10-12
spi-payments,underground,HIVE,0.007,2020-10-12
spi-payments,spirall,HIVE,0.001,2020-10-12
spi-payments,jznsamuel,HIVE,0.005,2020-10-12
spi-payments,metzli,HIVE,0.002,2020-10-12
spi-payments,flemingfarm,HIVE,0.005,2020-10-12
spi-payments,dkid14,HIVE,0.001,2020-10-12
spi-payments,oscarps,HIVE,0.002,2020-10-12
spi-payments,chrisparis,HIVE,0.008,2020-10-12
