from,to,symbol,quantity,date
brofund-arc,taskmaster4450le,ARCHON,0.002,2021-02-19
brofund-arc,shepherd-stories,ARCHON,0.024,2021-02-19
brofund-arc,blainjones,ARCHON,0.014,2021-02-19
brofund-arc,darrenclaxton,ARCHON,0.001,2021-02-19
brofund-arc,beemd,ARCHON,0.003,2021-02-19
brofund-arc,onestrong,ARCHON,0.002,2021-02-19
brofund-arc,bhattg,ARCHON,0.002,2021-02-19
brofund-arc,kingneptune,ARCHON,0.001,2021-02-19
brofund-arc,juanmiguelsalas,ARCHON,0.001,2021-02-19
brofund-arc,sgt-dan,ARCHON,0.001,2021-02-19
brofund-arc,walterjay,ARCHON,0.031,2021-02-19
brofund-arc,shmoogleosukami,ARCHON,0.002,2021-02-19
brofund-arc,wxmark,ARCHON,0.049,2021-02-19
brofund-arc,hykss,ARCHON,0.05,2021-02-19
brofund-arc,vipservice,ARCHON,0.028,2021-02-19
brofund-arc,edje,ARCHON,0.014,2021-02-19
brofund-arc,bitcoinflood,ARCHON,0.016,2021-02-19
brofund-arc,bozz,ARCHON,0.001,2021-02-19
brofund-arc,sinistry,ARCHON,0.001,2021-02-19
brofund-arc,enginewitty,ARCHON,0.036,2021-02-19
brofund-arc,adamada,ARCHON,0.009,2021-02-19
brofund-arc,honeysaver,ARCHON,0.002,2021-02-19
brofund-arc,carolynstahl,ARCHON,0.002,2021-02-19
brofund-arc,plantstoplanks,ARCHON,0.002,2021-02-19
brofund-arc,zydane,ARCHON,0.002,2021-02-19
brofund-arc,archon-gov,ARCHON,0.004,2021-02-19
brofund-arc,optimist1984,ARCHON,0.072,2021-02-19
brofund-arc,bidnat,ARCHON,0.012,2021-02-19
brofund-arc,shrazi,ARCHON,0.004,2021-02-19
brofund-arc,shroomifer,ARCHON,0.005,2021-02-19
brofund-arc,lobsterspam,ARCHON,0.015,2021-02-19
brofund-arc,monsterbuster,ARCHON,0.001,2021-02-19
brofund-arc,bitandi,ARCHON,0.012,2021-02-19
brofund-arc,okean123,ARCHON,0.001,2021-02-19
brofund-arc,theroad2freedom,ARCHON,0.003,2021-02-19
brofund-arc,damla,ARCHON,0.001,2021-02-19
brofund-arc,he-index,ARCHON,0.006,2021-02-19
brofund-arc,filotasriza3,ARCHON,0.007,2021-02-19
brofund-arc,road2nowhere,ARCHON,0.001,2021-02-19
brofund-arc,abztraxxx,ARCHON,0.006,2021-02-19
brofund-arc,starstrings01,ARCHON,0.002,2021-02-19
brofund-arc,riverflows,ARCHON,0.002,2021-02-19
brofund-arc,condeas,ARCHON,0.003,2021-02-19
brofund-arc,elianaicgomes,ARCHON,0.004,2021-02-19
brofund-arc,achim03,ARCHON,0.001,2021-02-19
brofund-arc,ctpsb,ARCHON,0.002,2021-02-19
brofund-arc,bosmob,ARCHON,0.001,2021-02-19
brofund-arc,knowhow92,ARCHON,0.009,2021-02-19
brofund-arc,evernoticethat,ARCHON,0.002,2021-02-19
brofund-arc,whatamidoing,ARCHON,0.025,2021-02-19
brofund-arc,davedickeyyall,ARCHON,0.01,2021-02-19
brofund-arc,adambarratt,ARCHON,0.003,2021-02-19
brofund-arc,adhammer,ARCHON,0.029,2021-02-19
brofund-arc,thelogicaldude,ARCHON,0.002,2021-02-19
brofund-arc,shoemanchu,ARCHON,0.019,2021-02-19
brofund-arc,jzn,ARCHON,0.007,2021-02-19
brofund-arc,velourex,ARCHON,0.021,2021-02-19
brofund-arc,shawnamawna,ARCHON,0.072,2021-02-19
brofund-arc,tpkidkai,ARCHON,0.006,2021-02-19
brofund-arc,vincentnijman,ARCHON,0.014,2021-02-19
brofund-arc,nickyhavey,ARCHON,0.023,2021-02-19
brofund-arc,joetunex,ARCHON,0.004,2021-02-19
brofund-arc,numanbutt,ARCHON,0.003,2021-02-19
brofund-arc,scooter77,ARCHON,0.011,2021-02-19
brofund-arc,libertycrypto27,ARCHON,0.001,2021-02-19
brofund-arc,jlsplatts,ARCHON,0.012,2021-02-19
brofund-arc,richardcrill,ARCHON,0.149,2021-02-19
brofund-arc,thisismylife,ARCHON,0.029,2021-02-19
brofund-arc,gungunkrishu,ARCHON,0.01,2021-02-19
brofund-arc,brofundholdings,ARCHON,0.011,2021-02-19
brofund-arc,leontr,ARCHON,0.002,2021-02-19
brofund-arc,themarkymark,ARCHON,1.056,2021-02-19
brofund-arc,camiloferrua,ARCHON,0.004,2021-02-19
brofund-arc,no-advice,ARCHON,0.025,2021-02-19
brofund-arc,netaterra,ARCHON,0.136,2021-02-19
brofund-arc,atma.love,ARCHON,0.225,2021-02-19
brofund-arc,rarej,ARCHON,0.003,2021-02-19
brofund-arc,ecosaint,ARCHON,0.049,2021-02-19
brofund-arc,sharanaithal,ARCHON,0.026,2021-02-19
brofund-arc,cwow2,ARCHON,0.004,2021-02-19
brofund-arc,neoxian,ARCHON,0.002,2021-02-19
brofund-arc,solairitas,ARCHON,0.001,2021-02-19
brofund-arc,ecoinstats,ARCHON,0.169,2021-02-19
brofund-arc,misterc,ARCHON,0.019,2021-02-19
brofund-arc,lilchillgirl,ARCHON,0.057,2021-02-19
brofund-arc,trumpikas,ARCHON,0.002,2021-02-19
brofund-arc,prize.hoard,ARCHON,0.047,2021-02-19
brofund-arc,gerber,ARCHON,0.014,2021-02-19
brofund-arc,coronavirus,ARCHON,0.001,2021-02-19
brofund-arc,mfblack,ARCHON,0.306,2021-02-19
brofund-arc,adiwathrive,ARCHON,0.006,2021-02-19
brofund-arc,saboin,ARCHON,0.021,2021-02-19
brofund-arc,steemychicken1,ARCHON,0.144,2021-02-19
brofund-arc,cornavirus,ARCHON,0.077,2021-02-19
brofund-arc,votebetting,ARCHON,0.044,2021-02-19
brofund-arc,cliffagreen,ARCHON,0.002,2021-02-19
brofund-arc,leo.bank,ARCHON,0.006,2021-02-19
brofund-arc,definethedollar,ARCHON,0.007,2021-02-19
brofund-arc,ifeoluwa88,ARCHON,0.005,2021-02-19
brofund-arc,akomoajong,ARCHON,0.004,2021-02-19
brofund-arc,lotto-de,ARCHON,0.005,2021-02-19
brofund-arc,investyourvote,ARCHON,0.004,2021-02-19
brofund-arc,archon-mining,ARCHON,0.043,2021-02-19
brofund-arc,skylinebuds,ARCHON,0.001,2021-02-19
brofund-arc,l337m45732,ARCHON,0.01,2021-02-19
brofund-arc,enforcer48,ARCHON,0.161,2021-02-19
