from,to,symbol,quantity,date
spi-payments,spinvest,HIVE,500.0,2020-01-07
spi-payments,leodex,HIVE,590.0,2020-01-09
spi-payments,leodex,HIVE,2531.659,2020-01-30
spi-payments,leodex,HIVE,1000.0,2020-01-30
spi-payments,leodex,HIVE,1000.0,2020-01-30
spi-payments,leodex,HIVE,500.0,2020-01-30
spi-payments,leodex,HIVE,500.0,2020-01-30
spi-payments,spinvest,HIVE,1831.659,2020-01-30
spi-payments,spinvest,HIVE,64.0,2020-02-04
spi-payments,spinvest,HIVE,50.77,2020-04-25
spi-payments,huntforsteem,HIVE,0.498,2020-05-17
spi-payments,crosheille,HIVE,0.222,2020-05-17
spi-payments,bethvalverde,HIVE,0.062,2020-05-17
spi-payments,kirstin,HIVE,0.019,2020-05-17
spi-payments,znnuksfe,HIVE,0.687,2020-05-17
spi-payments,silvertop,HIVE,0.126,2020-05-17
spi-payments,cottonlion,HIVE,0.02,2020-05-17
spi-payments,null,HIVE,0.009,2020-05-17
spi-payments,simonjay,HIVE,0.02,2020-05-17
spi-payments,elizabethbit,HIVE,0.098,2020-05-17
spi-payments,nobse,HIVE,0.201,2020-05-17
spi-payments,wapitielk,HIVE,0.011,2020-05-17
spi-payments,invest2learn,HIVE,0.139,2020-05-17
spi-payments,barmbo,HIVE,0.027,2020-05-17
spi-payments,hauptwerk,HIVE,0.101,2020-05-17
spi-payments,whitelightxpress,HIVE,0.057,2020-05-17
spi-payments,cadawg,HIVE,0.01,2020-05-17
spi-payments,dianadora,HIVE,0.031,2020-05-17
spi-payments,weedermann,HIVE,0.014,2020-05-17
spi-payments,eii,HIVE,0.014,2020-05-17
spi-payments,dm312,HIVE,0.007,2020-05-17
spi-payments,joetunex,HIVE,0.02,2020-05-17
spi-payments,isdev,HIVE,0.02,2020-05-17
spi-payments,reefe,HIVE,0.273,2020-05-17
spi-payments,no-advice,HIVE,0.423,2020-05-17
spi-payments,chrisparis,HIVE,8.962,2020-05-17
spi-payments,shitsignals,HIVE,3.763,2020-05-17
spi-payments,dylanhobalart,HIVE,0.37,2020-05-17
spi-payments,leo.bank,HIVE,2.067,2020-05-17
spi-payments,barton26,HIVE,0.006,2020-05-17
spi-payments,melinda010100,HIVE,0.326,2020-05-17
spi-payments,neoxian,HIVE,0.015,2020-05-17
spi-payments,bitandi,HIVE,0.018,2020-05-17
spi-payments,incubot,HIVE,0.095,2020-05-17
spi-payments,jongolson,HIVE,0.006,2020-05-17
spi-payments,spi-contests,HIVE,5.753,2020-05-17
spi-payments,forexbrokr,HIVE,1.038,2020-05-17
spi-payments,libertycrypto27,HIVE,0.018,2020-05-17
spi-payments,gerber,HIVE,0.456,2020-05-17
spi-payments,chekohler,HIVE,0.081,2020-05-17
spi-payments,spir-payments,HIVE,0.021,2020-05-17
spi-payments,rambutan.art,HIVE,0.05,2020-05-17
spi-payments,eturnerx,HIVE,0.111,2020-05-17
spi-payments,brickmanbrad,HIVE,0.01,2020-05-17
spi-payments,golddeck,HIVE,0.025,2020-05-17
spi-payments,d00k13,HIVE,0.142,2020-05-17
spi-payments,sparkesy43,HIVE,0.161,2020-05-17
spi-payments,billybohner,HIVE,0.008,2020-05-17
spi-payments,neumannsalva,HIVE,0.016,2020-05-17
spi-payments,moderndayhippie,HIVE,0.687,2020-05-17
spi-payments,quintaesencia,HIVE,0.008,2020-05-17
spi-payments,bitcoinflood,HIVE,0.014,2020-05-17
spi-payments,axeman,HIVE,0.024,2020-05-17
spi-payments,stevelivingston,HIVE,0.01,2020-05-17
spi-payments,yorra,HIVE,0.007,2020-05-17
spi-payments,levi-miron,HIVE,0.013,2020-05-17
spi-payments,tomhall,HIVE,0.008,2020-05-17
spi-payments,silveringots,HIVE,0.007,2020-05-17
spi-payments,monsterbuster,HIVE,0.016,2020-05-17
spi-payments,hetty-rowan,HIVE,0.016,2020-05-17
spi-payments,reverendrum,HIVE,0.006,2020-05-17
spi-payments,rehan.neox,HIVE,0.015,2020-05-17
spi-payments,steemcryptosicko,HIVE,0.081,2020-05-17
spi-payments,spi-payments,HIVE,0.584,2020-05-17
spi-payments,votebetting,HIVE,0.065,2020-05-17
spi-payments,taskmaster4450le,HIVE,0.132,2020-05-17
spi-payments,ange.nkuru,HIVE,0.071,2020-05-17
spi-payments,coreyb,HIVE,0.02,2020-05-17
spi-payments,super-irie,HIVE,3.154,2020-05-17
spi-payments,silverd510,HIVE,0.21,2020-05-17
spi-payments,underground,HIVE,38.639,2020-05-17
spi-payments,partitura,HIVE,2.663,2020-05-17
spi-payments,jpphotography,HIVE,0.011,2020-05-17
spi-payments,russia-btc,HIVE,0.105,2020-05-17
spi-payments,theb0red1,HIVE,0.091,2020-05-17
spi-payments,jznsamuel,HIVE,0.204,2020-05-17
spi-payments,shanibeer,HIVE,18.321,2020-05-17
spi-payments,tapeworm16,HIVE,0.613,2020-05-17
spi-payments,tonyz,HIVE,0.106,2020-05-17
spi-payments,bucipuci,HIVE,0.176,2020-05-17
spi-payments,metzli,HIVE,0.916,2020-05-17
spi-payments,jk6276,HIVE,7.146,2020-05-17
spi-payments,elfman2018,HIVE,0.074,2020-05-17
spi-payments,fat-elvis,HIVE,0.23,2020-05-17
spi-payments,taskmaster4450,HIVE,22.29,2020-05-17
spi-payments,dkid14,HIVE,0.057,2020-05-17
spi-payments,sumatranate,HIVE,0.367,2020-05-17
spi-payments,erikklok,HIVE,0.418,2020-05-17
spi-payments,dwingsworld,HIVE,0.204,2020-05-17
spi-payments,silverstackeruk,HIVE,38.029,2020-05-17
spi-payments,tbnfl4sun,HIVE,1.222,2020-05-17
spi-payments,oldmans,HIVE,0.586,2020-05-17
spi-payments,seareader1,HIVE,0.116,2020-05-17
spi-payments,jimbobbill,HIVE,0.01,2020-05-17
spi-payments,methus,HIVE,1.403,2020-05-17
spi-payments,darkmrmystic,HIVE,0.029,2020-05-17
spi-payments,kiokizz,HIVE,0.033,2020-05-17
spi-payments,silversaver888,HIVE,0.413,2020-05-17
spi-payments,ronaldoavelino,HIVE,2.581,2020-05-17
spi-payments,welshstacker,HIVE,0.416,2020-05-17
spi-payments,qam2112,HIVE,6.599,2020-05-17
spi-payments,revisesociology,HIVE,0.038,2020-05-17
spi-payments,sames,HIVE,0.109,2020-05-17
spi-payments,samsemilia7,HIVE,0.858,2020-05-17
spi-payments,c0ff33a,HIVE,0.102,2020-05-17
spi-payments,kerrislravenhill,HIVE,0.068,2020-05-17
spi-payments,elbrava,HIVE,0.046,2020-05-17
spi-payments,meaganx08,HIVE,1.192,2020-05-17
spi-payments,conradsuperb,HIVE,10.933,2020-05-17
spi-payments,roger5120,HIVE,15.713,2020-05-17
spi-payments,flemingfarm,HIVE,1.813,2020-05-17
spi-payments,jdkennedy,HIVE,0.303,2020-05-17
spi-payments,putu300,HIVE,0.024,2020-05-17
spi-payments,walterjay,HIVE,0.203,2020-05-17
spi-payments,ericburgoyne,HIVE,1.114,2020-05-17
spi-payments,geke,HIVE,0.825,2020-05-17
spi-payments,netaterra,HIVE,2.816,2020-05-17
spi-payments,rosatravels,HIVE,0.414,2020-05-17
spi-payments,mytechtrail,HIVE,0.769,2020-05-17
spi-payments,coolguy123,HIVE,0.022,2020-05-17
spi-payments,bobby.madagascar,HIVE,0.038,2020-05-17
spi-payments,gillianpearce,HIVE,0.538,2020-05-17
spi-payments,barbara-orenya,HIVE,0.201,2020-05-17
spi-payments,stayoutoftherz,HIVE,0.717,2020-05-17
spi-payments,themanwithnoname,HIVE,0.47,2020-05-17
spi-payments,nikkitoo,HIVE,0.042,2020-05-17
spi-payments,dfinney,HIVE,0.008,2020-05-17
spi-payments,javiersebastian,HIVE,0.021,2020-05-17
