from,to,symbol,date,quantity
utopis,khan.dayyanz,HIVE,2021-02-21,0.035
utopis,jjb777,HIVE,2021-02-21,0.14
utopis,jongolson,HIVE,2021-02-21,0.058
utopis,jonsnow1983,HIVE,2021-02-21,0.004
utopis,amr008,HIVE,2021-02-21,0.001
utopis,juanmiguelsalas,HIVE,2021-02-21,0.007
utopis,kiokizz,HIVE,2021-02-21,0.002
utopis,knowhow92,HIVE,2021-02-21,0.025
utopis,kolbjorn,HIVE,2021-02-21,0.136
utopis,largeadultson,HIVE,2021-02-21,0.002
utopis,jemmarti,HIVE,2021-02-21,0.005
utopis,leontr,HIVE,2021-02-21,0.001
utopis,lordneroo,HIVE,2021-02-21,0.001
utopis,melinda010100,HIVE,2021-02-21,0.003
utopis,mfblack,HIVE,2021-02-21,0.063
utopis,miketr,HIVE,2021-02-21,0.015
utopis,myvest,HIVE,2021-02-21,0.159
utopis,netaterra,HIVE,2021-02-21,0.784
utopis,nickyhavey,HIVE,2021-02-21,0.002
utopis,no-advice,HIVE,2021-02-21,0.041
utopis,notaboutme,HIVE,2021-02-21,0.004
utopis,libertycrypto27,HIVE,2021-02-21,0.001
utopis,pieternijmeijer,HIVE,2021-02-21,0.007
utopis,investyourvote,HIVE,2021-02-21,0.001
utopis,hykss,HIVE,2021-02-21,0.234
utopis,bitandi,HIVE,2021-02-21,0.001
utopis,blockmonster,HIVE,2021-02-21,0.009
utopis,bozz,HIVE,2021-02-21,0.011
utopis,brofundholdings,HIVE,2021-02-21,0.901
utopis,chireerocks,HIVE,2021-02-21,0.04
utopis,cornavirus,HIVE,2021-02-21,0.007
utopis,damla,HIVE,2021-02-21,0.002
utopis,denver-bob,HIVE,2021-02-21,0.125
utopis,dera123,HIVE,2021-02-21,0.096
utopis,investinthefutur,HIVE,2021-02-21,0.011
utopis,diana.catherine,HIVE,2021-02-21,0.01
utopis,dkid14,HIVE,2021-02-21,0.012
utopis,ecoinstant,HIVE,2021-02-21,0.041
utopis,eddiespino,HIVE,2021-02-21,0.023
utopis,eirik,HIVE,2021-02-21,0.025
utopis,ericburgoyne,HIVE,2021-02-21,0.003
utopis,evernoticethat,HIVE,2021-02-21,0.002
utopis,foodiess,HIVE,2021-02-21,0.001
utopis,gillianpearce,HIVE,2021-02-21,0.002
utopis,honeysaver,HIVE,2021-02-21,0.006
utopis,discohedge,HIVE,2021-02-21,0.215
utopis,pixresteemer,HIVE,2021-02-21,0.001
utopis,berthold,HIVE,2021-02-21,0.002
utopis,spinvest,HIVE,2021-02-21,0.935
utopis,taskmaster4450,HIVE,2021-02-21,0.059
utopis,skylinebuds,HIVE,2021-02-21,0.008
utopis,teenagecrypto,HIVE,2021-02-21,0.001
utopis,simplifylife,HIVE,2021-02-21,0.026
utopis,thegoliath,HIVE,2021-02-21,0.023
utopis,simplegame,HIVE,2021-02-21,0.013
utopis,silverstackeruk,HIVE,2021-02-21,0.105
utopis,tomhall,HIVE,2021-02-21,0.001
utopis,shroomifer,HIVE,2021-02-21,0.002
utopis,shoemanchu,HIVE,2021-02-21,0.02
utopis,abrockman,HIVE,2021-02-21,0.069
utopis,trumpman,HIVE,2021-02-21,0.067
utopis,shmoogleosukami,HIVE,2021-02-21,0.002
utopis,velourex,HIVE,2021-02-21,0.002
utopis,stayoutoftherz,HIVE,2021-02-21,0.011
utopis,road2nowhere,HIVE,2021-02-21,0.002
utopis,roleerob,HIVE,2021-02-21,0.082
utopis,scooter77,HIVE,2021-02-21,0.001
utopis,vipservice,HIVE,2021-02-21,0.224
utopis,votebetting,HIVE,2021-02-21,0.047
utopis,cornavirus,HIVE,2021-02-22,2.771
utopis,teenagecrypto,HIVE,2021-02-22,0.416
utopis,eirik,HIVE,2021-02-22,9.7
utopis,enginewitty,HIVE,2021-02-22,9.238
utopis,bitandi,HIVE,2021-02-22,0.277
utopis,ericburgoyne,HIVE,2021-02-22,1.109
utopis,taskmaster4450,HIVE,2021-02-22,23.187
utopis,evernoticethat,HIVE,2021-02-22,0.924
utopis,votebetting,HIVE,2021-02-22,18.476
utopis,taskmanager,HIVE,2021-02-22,23.095
utopis,gillianpearce,HIVE,2021-02-22,0.647
utopis,hatoto,HIVE,2021-02-22,0.092
utopis,blockmonster,HIVE,2021-02-22,3.695
utopis,vipservice,HIVE,2021-02-22,88.684
utopis,thegoliath,HIVE,2021-02-22,4.619
utopis,chireerocks,HIVE,2021-02-22,15.632
utopis,trumpman,HIVE,2021-02-22,26.651
utopis,damla,HIVE,2021-02-22,0.924
utopis,velourex,HIVE,2021-02-22,0.924
utopis,denver-bob,HIVE,2021-02-22,49.423
utopis,brofundholdings,HIVE,2021-02-22,356.307
utopis,dera123,HIVE,2021-02-22,37.798
utopis,ecoinstant,HIVE,2021-02-22,16.351
utopis,trayan,HIVE,2021-02-22,0.193
utopis,branbello,HIVE,2021-02-22,0.092
utopis,tomhall,HIVE,2021-02-22,0.777
utopis,discohedge,HIVE,2021-02-22,87.206
utopis,bozz,HIVE,2021-02-22,4.157
utopis,dkid14,HIVE,2021-02-22,4.619
utopis,drax,HIVE,2021-02-22,0.099
utopis,stayoutoftherz,HIVE,2021-02-22,4.157
utopis,diana.catherine,HIVE,2021-02-22,3.907
utopis,poetchick4jesus,HIVE,2021-02-22,0.011
utopis,hykss,HIVE,2021-02-22,92.379
utopis,libertycrypto27,HIVE,2021-02-22,0.462
utopis,shmoogleosukami,HIVE,2021-02-22,0.666
utopis,lordneroo,HIVE,2021-02-22,0.556
utopis,melinda010100,HIVE,2021-02-22,1.109
utopis,sevenoh-fiveoh,HIVE,2021-02-22,0.092
utopis,mfblack,HIVE,2021-02-22,25.035
utopis,scooter77,HIVE,2021-02-22,0.462
utopis,miketr,HIVE,2021-02-22,5.912
utopis,berthold,HIVE,2021-02-22,0.924
utopis,moonthumb,HIVE,2021-02-22,0.105
utopis,roleerob,HIVE,2021-02-22,32.333
utopis,netaterra,HIVE,2021-02-22,309.877
utopis,nickyhavey,HIVE,2021-02-22,0.924
utopis,road2nowhere,HIVE,2021-02-22,0.678
utopis,no-advice,HIVE,2021-02-22,16.166
utopis,notaboutme,HIVE,2021-02-22,1.386
utopis,revisesociology,HIVE,2021-02-22,1.109
utopis,pieternijmeijer,HIVE,2021-02-22,2.771
utopis,myvest,HIVE,2021-02-22,62.818
utopis,honeysaver,HIVE,2021-02-22,2.402
utopis,shoemanchu,HIVE,2021-02-22,7.76
utopis,kolbjorn,HIVE,2021-02-22,55.428
utopis,spinvest,HIVE,2021-02-22,369.517
utopis,investinthefutur,HIVE,2021-02-22,4.157
utopis,pixresteemer,HIVE,2021-02-22,0.277
utopis,investyourvote,HIVE,2021-02-22,0.37
utopis,skylinebuds,HIVE,2021-02-22,3.234
utopis,jemmarti,HIVE,2021-02-22,1.848
utopis,jfang003,HIVE,2021-02-22,0.185
utopis,jjb777,HIVE,2021-02-22,60.534
utopis,largeadultson,HIVE,2021-02-22,0.701
utopis,simplifylife,HIVE,2021-02-22,10.162
utopis,jonsnow1983,HIVE,2021-02-22,1.631
utopis,simplegame,HIVE,2021-02-22,4.988
utopis,juanmiguelsalas,HIVE,2021-02-22,9.238
utopis,khan.dayyanz,HIVE,2021-02-22,13.857
utopis,silverstackeruk,HIVE,2021-02-22,41.571
utopis,kiokizz,HIVE,2021-02-22,0.924
utopis,knowhow92,HIVE,2021-02-22,10.023
utopis,shroomifer,HIVE,2021-02-22,0.739
utopis,jongolson,HIVE,2021-02-22,23.095
utopis,leontr,HIVE,2021-02-22,0.37
utopis,a1-shroom-spores,HIVE,2021-02-22,0.092
utopis,amr008,HIVE,2021-02-22,0.277
utopis,abrockman,HIVE,2021-02-22,27.252
utopis,aiovo,HIVE,2021-02-22,0.092
utopis,athomewithcraig,HIVE,2021-02-22,0.088
utopis,cornavirus,HIVE,2021-03-01,2.08
utopis,sevenoh-fiveoh,HIVE,2021-03-01,0.067
utopis,jlsplatts,HIVE,2021-03-01,5.704
utopis,scooter77,HIVE,2021-03-01,1.476
utopis,sayee,HIVE,2021-03-01,0.738
utopis,jongolson,HIVE,2021-03-01,21.811
utopis,amr008,HIVE,2021-03-01,1.495
utopis,jackofcrows,HIVE,2021-03-01,1.141
utopis,roleerob,HIVE,2021-03-01,23.488
utopis,jonsnow1983,HIVE,2021-03-01,1.185
utopis,blockmonster,HIVE,2021-03-01,2.684
utopis,juanmiguelsalas,HIVE,2021-03-01,6.711
utopis,juanvegetarian,HIVE,2021-03-01,0.671
utopis,road2nowhere,HIVE,2021-03-01,0.694
utopis,rickardoh,HIVE,2021-03-01,0.336
utopis,jjb777,HIVE,2021-03-01,53.102
utopis,jfang003,HIVE,2021-03-01,0.201
utopis,shmoogleosukami,HIVE,2021-03-01,0.963
utopis,shoemanchu,HIVE,2021-03-01,5.637
utopis,cryptofiloz,HIVE,2021-03-01,0.813
utopis,spinvest,HIVE,2021-03-01,268.438
utopis,honeysaver,HIVE,2021-03-01,3.691
utopis,hykss,HIVE,2021-03-01,67.109
utopis,skylinebuds,HIVE,2021-03-01,3.087
utopis,imfarhad,HIVE,2021-03-01,0.336
utopis,bitandi,HIVE,2021-03-01,0.336
utopis,investinthefutur,HIVE,2021-03-01,3.775
utopis,revisesociology,HIVE,2021-03-01,3.691
utopis,simplifylife,HIVE,2021-03-01,7.382
utopis,cryptoandcoffee,HIVE,2021-03-01,1.342
utopis,simplegame,HIVE,2021-03-01,3.624
utopis,silverstackeruk,HIVE,2021-03-01,30.199
utopis,coyotelation,HIVE,2021-03-01,10.066
utopis,shroomifer,HIVE,2021-03-01,5.906
utopis,bitcoinflood,HIVE,2021-03-01,0.352
utopis,jaquevital,HIVE,2021-03-01,0.672
utopis,jemmarti,HIVE,2021-03-01,1.342
utopis,investyourvote,HIVE,2021-03-01,0.403
utopis,khan.dayyanz,HIVE,2021-03-01,15.1
utopis,rahul.stan,HIVE,2021-03-01,1.353
utopis,kingneptune,HIVE,2021-03-01,4.027
utopis,mapac,HIVE,2021-03-01,1.342
utopis,no-advice,HIVE,2021-03-01,11.744
utopis,matheusggr,HIVE,2021-03-01,0.067
utopis,meesterboom,HIVE,2021-03-01,6.711
utopis,nickyhavey,HIVE,2021-03-01,3.355
utopis,brofundholdings,HIVE,2021-03-01,258.841
utopis,melbourneswest,HIVE,2021-03-01,2.753
utopis,branbello,HIVE,2021-03-01,0.067
utopis,netaterra,HIVE,2021-03-01,225.112
utopis,aiovo,HIVE,2021-03-01,0.067
utopis,melinda010100,HIVE,2021-03-01,2.828
utopis,myvest,HIVE,2021-03-01,45.634
utopis,myfreebtc,HIVE,2021-03-01,0.067
utopis,mfblack,HIVE,2021-03-01,20.133
utopis,mpath,HIVE,2021-03-01,0.134
utopis,miketr,HIVE,2021-03-01,4.899
utopis,moonthumb,HIVE,2021-03-01,0.134
utopis,nobutsd1974,HIVE,2021-03-01,0.027
utopis,hive-id,HIVE,2021-03-01,0.087
utopis,notaboutme,HIVE,2021-03-01,1.007
utopis,bozz,HIVE,2021-03-01,4.698
