from,to,symbol,quantity,date
brofund-arc,focus.folks,ARCHON,0.001,2021-05-31
brofund-arc,wdougwatson,ARCHON,0.001,2021-05-31
brofund-arc,johannpiber,ARCHON,0.001,2021-05-31
brofund-arc,taintedblood,ARCHON,0.001,2021-05-31
brofund-arc,blockchainyouth,ARCHON,0.001,2021-05-31
brofund-arc,jimmy.adames,ARCHON,0.002,2021-05-31
brofund-arc,efastromberg94,ARCHON,0.002,2021-05-31
brofund-arc,hive.pizza,ARCHON,0.002,2021-05-31
brofund-arc,thecryptopimp,ARCHON,0.004,2021-05-31
brofund-arc,newigennity,ARCHON,0.001,2021-05-31
brofund-arc,agmasz,ARCHON,0.004,2021-05-31
brofund-arc,shawnlauzon,ARCHON,0.005,2021-05-31
brofund-arc,phul,ARCHON,0.001,2021-05-31
brofund-arc,dagger212,ARCHON,0.005,2021-05-31
brofund-arc,daveks,ARCHON,0.007,2021-05-31
brofund-arc,fronttowardenemy,ARCHON,0.002,2021-05-31
brofund-arc,erikah,ARCHON,0.001,2021-05-31
brofund-arc,azircon,ARCHON,0.077,2021-05-31
brofund-arc,bobby.madagascar,ARCHON,0.002,2021-05-31
brofund-arc,nobutsd1974,ARCHON,0.001,2021-05-31
brofund-arc,little-ricky,ARCHON,0.004,2021-05-31
brofund-arc,cranium,ARCHON,0.001,2021-05-31
brofund-arc,ammonite,ARCHON,0.002,2021-05-31
brofund-arc,darrenclaxton,ARCHON,0.02,2021-05-31
brofund-arc,cryptoandcoffee,ARCHON,0.001,2021-05-31
brofund-arc,bhattg,ARCHON,0.002,2021-05-31
brofund-arc,kingneptune,ARCHON,0.005,2021-05-31
brofund-arc,fiberfrau,ARCHON,0.002,2021-05-31
brofund-arc,brofi,ARCHON,0.129,2021-05-31
brofund-arc,doctorcrypto,ARCHON,0.001,2021-05-31
brofund-arc,finguru,ARCHON,0.006,2021-05-31
brofund-arc,gadrian,ARCHON,0.001,2021-05-31
brofund-arc,bitcoinflood,ARCHON,0.021,2021-05-31
brofund-arc,sinistry,ARCHON,0.001,2021-05-31
brofund-arc,enginewitty,ARCHON,0.022,2021-05-31
brofund-arc,taskmaster4450le,ARCHON,0.001,2021-05-31
brofund-arc,shepherd-stories,ARCHON,0.005,2021-05-31
brofund-arc,boycharliefamily,ARCHON,0.003,2021-05-31
brofund-arc,successchar,ARCHON,0.001,2021-05-31
brofund-arc,blainjones,ARCHON,0.01,2021-05-31
brofund-arc,juecoree,ARCHON,0.001,2021-05-31
brofund-arc,roger.remix,ARCHON,0.001,2021-05-31
brofund-arc,bidnat,ARCHON,0.008,2021-05-31
brofund-arc,doze,ARCHON,0.006,2021-05-31
brofund-arc,shrazi,ARCHON,0.003,2021-05-31
brofund-arc,shroomifer,ARCHON,0.003,2021-05-31
brofund-arc,walterjay,ARCHON,0.02,2021-05-31
brofund-arc,wxmark,ARCHON,0.013,2021-05-31
