from,to,symbol,quantity,date
he-indexrewards,whitelightxpress,ARCHON,0.001,2021-03-20
he-indexrewards,investinthefutur,ARCHON,0.001,2021-03-20
he-indexrewards,cryptocanny,ARCHON,0.001,2021-03-20
he-indexrewards,drax.leo,ARCHON,0.001,2021-03-20
he-indexrewards,andrewn,ARCHON,0.001,2021-03-20
he-indexrewards,jimre1,ARCHON,0.001,2021-03-20
he-indexrewards,okean123,ARCHON,0.001,2021-03-20
he-indexrewards,cryptictruth,ARCHON,0.001,2021-03-20
he-indexrewards,vincentnijman,ARCHON,0.001,2021-03-20
he-indexrewards,bashadow,ARCHON,0.001,2021-03-20
he-indexrewards,melinda010100,ARCHON,0.001,2021-03-20
he-indexrewards,neopch,ARCHON,0.001,2021-03-20
he-indexrewards,cmplxty,ARCHON,0.001,2021-03-20
he-indexrewards,forykw,ARCHON,0.001,2021-03-20
he-indexrewards,thealliance,ARCHON,0.001,2021-03-20
he-indexrewards,kingneptune,ARCHON,0.001,2021-03-20
he-indexrewards,nikoleondas,ARCHON,0.001,2021-03-20
he-indexrewards,adambarratt,ARCHON,0.001,2021-03-20
he-indexrewards,nathanmars,ARCHON,0.001,2021-03-20
he-indexrewards,rarej,ARCHON,0.001,2021-03-20
he-indexrewards,drax,ARCHON,0.001,2021-03-20
he-indexrewards,eirik,ARCHON,0.001,2021-03-20
he-indexrewards,ammonite,ARCHON,0.001,2021-03-20
he-indexrewards,gungunkrishu,ARCHON,0.001,2021-03-20
he-indexrewards,filotasriza3,ARCHON,0.001,2021-03-20
he-indexrewards,coyotelation,ARCHON,0.001,2021-03-20
he-indexrewards,paxjulia,ARCHON,0.001,2021-03-20
he-indexrewards,rezoanulv.sports,ARCHON,0.001,2021-03-20
he-indexrewards,netaterra,ARCHON,0.001,2021-03-20
he-indexrewards,lisamgentile1961,ARCHON,0.001,2021-03-20
he-indexrewards,pm522przemek,ARCHON,0.001,2021-03-20
he-indexrewards,jangle,ARCHON,0.001,2021-03-20
he-indexrewards,theroad2freedom,ARCHON,0.001,2021-03-20
he-indexrewards,luckyali,ARCHON,0.001,2021-03-20
he-indexrewards,fiberfrau,ARCHON,0.001,2021-03-20
he-indexrewards,pardinus,ARCHON,0.001,2021-03-20
he-indexrewards,cryptosimplify,ARCHON,0.001,2021-03-20
he-indexrewards,aslehansen,ARCHON,0.001,2021-03-20
he-indexrewards,scooter77,ARCHON,0.001,2021-03-20
he-indexrewards,thatcryptodave,ARCHON,0.001,2021-03-20
he-indexrewards,velourex,ARCHON,0.002,2021-03-20
he-indexrewards,successchar,ARCHON,0.002,2021-03-20
he-indexrewards,inertia,ARCHON,0.002,2021-03-20
he-indexrewards,road2nowhere,ARCHON,0.002,2021-03-20
he-indexrewards,anthonypslate,ARCHON,0.002,2021-03-20
he-indexrewards,thelogicaldude,ARCHON,0.002,2021-03-20
he-indexrewards,bradleyarrow,ARCHON,0.002,2021-03-20
he-indexrewards,leosoph,ARCHON,0.002,2021-03-20
he-indexrewards,knowhow92,ARCHON,0.002,2021-03-20
he-indexrewards,maddogmike,ARCHON,0.002,2021-03-20
he-indexrewards,jeffjagoe,ARCHON,0.002,2021-03-20
he-indexrewards,ghcamry,ARCHON,0.002,2021-03-20
he-indexrewards,elizabetamt,ARCHON,0.002,2021-03-20
he-indexrewards,mytechtrail,ARCHON,0.002,2021-03-20
he-indexrewards,partitura,ARCHON,0.002,2021-03-20
he-indexrewards,freesinger,ARCHON,0.002,2021-03-20
he-indexrewards,abrockman,ARCHON,0.002,2021-03-20
he-indexrewards,dfacademy,ARCHON,0.002,2021-03-20
he-indexrewards,roger.remix,ARCHON,0.002,2021-03-20
he-indexrewards,jzn,ARCHON,0.002,2021-03-20
he-indexrewards,oldmans,ARCHON,0.003,2021-03-20
he-indexrewards,russellstockley,ARCHON,0.003,2021-03-20
he-indexrewards,srmallara,ARCHON,0.004,2021-03-20
he-indexrewards,no-advice,ARCHON,0.004,2021-03-20
he-indexrewards,salexa5,ARCHON,0.004,2021-03-20
he-indexrewards,niallon11,ARCHON,0.004,2021-03-20
he-indexrewards,dkid14,ARCHON,0.004,2021-03-20
he-indexrewards,curtawakening,ARCHON,0.004,2021-03-20
he-indexrewards,hirohurl,ARCHON,0.004,2021-03-20
he-indexrewards,chronocrypto,ARCHON,0.005,2021-03-20
he-indexrewards,silverstackeruk,ARCHON,0.005,2021-03-20
he-indexrewards,ericburgoyne,ARCHON,0.005,2021-03-20
he-indexrewards,alokkumar121,ARCHON,0.006,2021-03-20
he-indexrewards,enginewitty,ARCHON,0.007,2021-03-20
he-indexrewards,brofund,ARCHON,0.007,2021-03-20
he-indexrewards,discohedge,ARCHON,0.007,2021-03-20
he-indexrewards,shmoogleosukami,ARCHON,0.007,2021-03-20
he-indexrewards,blue.rabbit,ARCHON,0.008,2021-03-20
he-indexrewards,x9ed1732b,ARCHON,0.008,2021-03-20
he-indexrewards,tandara,ARCHON,0.014,2021-03-20
he-indexrewards,elianaicgomes,ARCHON,0.017,2021-03-20
he-indexrewards,chmoen,ARCHON,0.018,2021-03-20
he-indexrewards,torrey.blog,ARCHON,0.018,2021-03-20
he-indexrewards,taskmaster4450,ARCHON,0.019,2021-03-20
he-indexrewards,jongolson,ARCHON,0.046,2021-03-20
he-indexrewards,peerfinance,ARCHON,0.061,2021-03-20
he-indexrewards,blainjones,ARCHON,0.067,2021-03-20
he-indexrewards,achim03,ARCHON,0.006,2021-03-20
he-indexrewards,jongolson,ARCHON,0.011,2021-03-20
he-indexrewards,blainjones,ARCHON,0.011,2021-03-20
he-indexrewards,he-indexadmin,ARCHON,0.028,2021-03-20
he-indexrewards,he-index,ARCHON,0.056,2021-03-20
he-indexrewards,filotasriza3,ARCHON,0.001,2021-03-19
he-indexrewards,coyotelation,ARCHON,0.001,2021-03-19
he-indexrewards,paxjulia,ARCHON,0.001,2021-03-19
he-indexrewards,rezoanulv.sports,ARCHON,0.001,2021-03-19
he-indexrewards,netaterra,ARCHON,0.001,2021-03-19
he-indexrewards,lisamgentile1961,ARCHON,0.001,2021-03-19
he-indexrewards,luckyali,ARCHON,0.001,2021-03-19
he-indexrewards,pm522przemek,ARCHON,0.001,2021-03-19
he-indexrewards,theroad2freedom,ARCHON,0.001,2021-03-19
