from,to,symbol,quantity,date
spi-payments,loshombresdepaco,SPI,0.01,2021-04-04
spi-payments,nomadsteem,SPI,0.01,2021-04-04
spi-payments,alexvan,SPI,0.01,2021-04-04
spi-payments,he-index,SPI,0.05,2021-04-04
spi-payments,nickyhavey,SPI,0.02,2021-04-04
spi-payments,myvest,SPI,0.9,2021-04-04
spi-payments,theroad2freedom,SPI,0.01,2021-04-04
spi-payments,hykss,SPI,0.08,2021-04-04
spi-payments,enginewitty,SPI,0.01,2021-04-04
spi-payments,honeysaver,SPI,0.01,2021-04-04
spi-payments,vipservice,SPI,0.22,2021-04-04
spi-payments,sinistry,SPI,0.01,2021-04-04
spi-payments,jmsansan.leo,SPI,0.04,2021-04-04
spi-payments,emsenn0,SPI,0.01,2021-04-04
spi-payments,chireerocks,SPI,0.01,2021-04-04
spi-payments,khan.dayyanz,SPI,0.03,2021-04-04
spi-payments,chronocrypto,SPI,0.43,2021-04-04
spi-payments,themightyvolcano,SPI,4.69,2021-04-04
spi-payments,tiffin,SPI,0.01,2021-04-04
spi-payments,elbiasto,SPI,0.01,2021-04-04
spi-payments,blue.rabbit,SPI,0.09,2021-04-04
spi-payments,definethedollar,SPI,0.02,2021-04-04
spi-payments,brofundholdings,SPI,2.48,2021-04-04
spi-payments,bashadow,SPI,0.03,2021-04-04
spi-payments,cryptictruth,SPI,0.02,2021-04-04
spi-payments,leoneil,SPI,0.02,2021-04-04
spi-payments,rxhector,SPI,0.01,2021-04-04
spi-payments,anderssinho,SPI,0.01,2021-04-04
spi-payments,steliosfan,SPI,0.01,2021-04-04
spi-payments,edicted,SPI,0.01,2021-04-04
spi-payments,roleerob,SPI,0.09,2021-04-04
spi-payments,nealmcspadden,SPI,0.01,2021-04-04
spi-payments,gadrian,SPI,0.02,2021-04-04
spi-payments,katerinaramm,SPI,0.01,2021-04-04
spi-payments,adambarratt,SPI,0.09,2021-04-04
spi-payments,purefood,SPI,0.02,2021-04-04
spi-payments,mktmaker,SPI,0.01,2021-04-04
spi-payments,adsup,SPI,0.01,2021-04-04
spi-payments,danielsaori,SPI,0.01,2021-04-04
spi-payments,crimsonclad,SPI,0.01,2021-04-04
spi-payments,kubbyelizabeth,SPI,0.01,2021-04-04
spi-payments,oldtimer,SPI,0.01,2021-04-04
