from,to,symbol,quantity,date
tan.extra,jjprac,BEE,0.039,2021-05-05
tan.extra,bucipuci,BEE,0.039,2021-05-05
tan.extra,ykretz,BEE,0.042,2021-05-05
tan.extra,cryptographic,BEE,0.043,2021-05-05
tan.extra,gungunkrishu,BEE,0.044,2021-05-05
tan.extra,miketr,BEE,0.049,2021-05-05
tan.extra,wesphilbin,BEE,0.052,2021-05-05
tan.extra,ambyr00,BEE,0.065,2021-05-05
tan.extra,asimo,BEE,0.067,2021-05-05
tan.extra,justinparke,BEE,0.068,2021-05-05
tan.extra,mapac,BEE,0.068,2021-05-05
tan.extra,blue.rabbit,BEE,0.071,2021-05-05
tan.extra,enginewitty,BEE,0.073,2021-05-05
tan.extra,mawit07,BEE,0.080,2021-05-05
tan.extra,minnowspower,BEE,0.089,2021-05-05
tan.extra,goldcoin,BEE,0.106,2021-05-05
tan.extra,andy4475,BEE,0.138,2021-05-05
tan.extra,mickowen,BEE,0.146,2021-05-05
tan.extra,lightcaptured,BEE,0.149,2021-05-05
tan.extra,gamer00,BEE,0.157,2021-05-05
tan.extra,andyjim,BEE,0.171,2021-05-05
tan.extra,imagenius.dac,BEE,0.188,2021-05-05
tan.extra,theshaki,BEE,0.192,2021-05-05
tan.extra,theguruasia,BEE,0.202,2021-05-05
tan.extra,roger.remix,BEE,0.342,2021-05-05
tan.extra,jjprac,VAULT,1.215,2021-05-05
tan.extra,bucipuci,VAULT,1.225,2021-05-05
tan.extra,ykretz,VAULT,1.315,2021-05-05
tan.extra,cryptographic,VAULT,1.324,2021-05-05
tan.extra,gungunkrishu,VAULT,1.371,2021-05-05
tan.extra,miketr,VAULT,1.513,2021-05-05
tan.extra,wesphilbin,VAULT,1.622,2021-05-05
tan.extra,ambyr00,VAULT,1.995,2021-05-05
tan.extra,asimo,VAULT,2.061,2021-05-05
tan.extra,justinparke,VAULT,2.099,2021-05-05
tan.extra,mapac,VAULT,2.099,2021-05-05
tan.extra,blue.rabbit,VAULT,2.194,2021-05-05
tan.extra,enginewitty,VAULT,2.243,2021-05-05
tan.extra,mawit07,VAULT,2.483,2021-05-05
tan.extra,minnowspower,VAULT,2.747,2021-05-05
tan.extra,goldcoin,VAULT,3.267,2021-05-05
tan.extra,andy4475,VAULT,4.237,2021-05-05
tan.extra,mickowen,VAULT,4.507,2021-05-05
tan.extra,lightcaptured,VAULT,4.589,2021-05-05
tan.extra,gamer00,VAULT,4.828,2021-05-05
tan.extra,andyjim,VAULT,5.271,2021-05-05
tan.extra,imagenius.dac,VAULT,5.774,2021-05-05
tan.extra,theshaki,VAULT,5.918,2021-05-05
tan.extra,theguruasia,VAULT,6.196,2021-05-05
tan.extra,roger.remix,VAULT,10.499,2021-05-05
tan.stake,wolfofnostreet,SIM,0.013,2021-05-31
tan.stake,tbnfl4sun,SIM,0.013,2021-05-31
tan.stake,saffisara,SIM,0.013,2021-05-31
tan.stake,nftshowroom,SIM,0.013,2021-05-31
tan.stake,borjan,SIM,0.013,2021-05-31
tan.stake,onlavu,SIM,0.013,2021-05-31
tan.stake,yann03,SIM,0.013,2021-05-31
tan.stake,isaaclab,SIM,0.013,2021-05-31
tan.stake,mildred271,SIM,0.014,2021-05-31
tan.stake,teesart,SIM,0.014,2021-05-31
tan.stake,deanliu,SIM,0.014,2021-05-31
tan.stake,coruscate,SIM,0.014,2021-05-31
tan.stake,cshin,SIM,0.014,2021-05-31
tan.stake,anggreklestari,SIM,0.014,2021-05-31
tan.stake,olivia08,SIM,0.014,2021-05-31
tan.stake,nonameslefttouse,SIM,0.014,2021-05-31
tan.stake,staryao,SIM,0.014,2021-05-31
tan.stake,goodreader,SIM,0.014,2021-05-31
tan.stake,huaren.news,SIM,0.014,2021-05-31
tan.stake,josevas217,SIM,0.014,2021-05-31
tan.stake,joanstewart,SIM,0.014,2021-05-31
tan.stake,glory7,SIM,0.014,2021-05-31
tan.stake,solar-junely,SIM,0.014,2021-05-31
tan.stake,newiz,SIM,0.014,2021-05-31
tan.stake,isaria,SIM,0.014,2021-05-31
tan.stake,mecurry,SIM,0.014,2021-05-31
tan.stake,tht,SIM,0.014,2021-05-31
tan.stake,ufuk,SIM,0.014,2021-05-31
tan.stake,sudefteri,SIM,0.014,2021-05-31
tan.stake,sahinadm,SIM,0.014,2021-05-31
tan.stake,cyberrn,SIM,0.014,2021-05-31
tan.stake,photovisions,SIM,0.015,2021-05-31
tan.stake,josecarrerag,SIM,0.015,2021-05-31
tan.stake,enrique89,SIM,0.015,2021-05-31
tan.stake,keychain,SIM,0.015,2021-05-31
tan.stake,ifc,SIM,0.015,2021-05-31
tan.stake,alokkumar121,SIM,0.015,2021-05-31
tan.stake,tomoyan,SIM,0.015,2021-05-31
tan.stake,guada1,SIM,0.015,2021-05-31
tan.stake,vimm,SIM,0.015,2021-05-31
tan.stake,tinker-bell,SIM,0.015,2021-05-31
tan.stake,hodolbak,SIM,0.015,2021-05-31
tan.stake,annexoyiz,SIM,0.015,2021-05-31
tan.stake,fredrikaa,SIM,0.015,2021-05-31
tan.stake,khaleelkazi,SIM,0.015,2021-05-31
tan.stake,austinsteinbart,SIM,0.015,2021-05-31
tan.stake,loulou1987,SIM,0.015,2021-05-31
tan.stake,agmoore,SIM,0.016,2021-05-31
tan.stake,yabapmatt,SIM,0.016,2021-05-31
tan.stake,reiseamateur,SIM,0.016,2021-05-31
tan.stake,mehmetfix,SIM,0.016,2021-05-31
tan.stake,mywhale,SIM,0.016,2021-05-31
tan.stake,scottcbusiness,SIM,0.016,2021-05-31
tan.stake,ladiesofhive,SIM,0.016,2021-05-31
tan.stake,hiro-hive,SIM,0.016,2021-05-31
tan.stake,racibo,SIM,0.016,2021-05-31
tan.stake,taskmaster4450le,SIM,0.016,2021-05-31
tan.stake,pele23,SIM,0.016,2021-05-31
tan.stake,stortebeker,SIM,0.016,2021-05-31
