from,to,symbol,quantity,date
he-indexrewards,jangle,ARCHON,0.001,2021-02-22
he-indexrewards,rezoanulv.sports,ARCHON,0.001,2021-02-22
he-indexrewards,pardinus,ARCHON,0.001,2021-02-22
he-indexrewards,cryptosimplify,ARCHON,0.001,2021-02-22
he-indexrewards,successchar,ARCHON,0.001,2021-02-22
he-indexrewards,scooter77,ARCHON,0.001,2021-02-22
he-indexrewards,uyobong.venture,ARCHON,0.001,2021-02-22
he-indexrewards,road2nowhere,ARCHON,0.001,2021-02-22
he-indexrewards,cwow2,ARCHON,0.001,2021-02-22
he-indexrewards,maddogmike,ARCHON,0.001,2021-02-22
he-indexrewards,velourex,ARCHON,0.001,2021-02-22
he-indexrewards,inertia,ARCHON,0.001,2021-02-22
he-indexrewards,thelogicaldude,ARCHON,0.001,2021-02-22
he-indexrewards,anthonypslate,ARCHON,0.001,2021-02-22
he-indexrewards,bradleyarrow,ARCHON,0.001,2021-02-22
he-indexrewards,leosoph,ARCHON,0.001,2021-02-22
he-indexrewards,knowhow92,ARCHON,0.001,2021-02-22
he-indexrewards,elizabetamt,ARCHON,0.001,2021-02-22
he-indexrewards,jeffjagoe,ARCHON,0.001,2021-02-22
he-indexrewards,ghcamry,ARCHON,0.001,2021-02-22
he-indexrewards,partitura,ARCHON,0.001,2021-02-22
he-indexrewards,freesinger,ARCHON,0.001,2021-02-22
he-indexrewards,abrockman,ARCHON,0.001,2021-02-22
he-indexrewards,oldmans,ARCHON,0.001,2021-02-22
he-indexrewards,dfacademy,ARCHON,0.001,2021-02-22
he-indexrewards,mytechtrail,ARCHON,0.001,2021-02-22
he-indexrewards,roger.remix,ARCHON,0.001,2021-02-22
he-indexrewards,jzn,ARCHON,0.001,2021-02-22
he-indexrewards,niallon11,ARCHON,0.002,2021-02-22
he-indexrewards,russellstockley,ARCHON,0.002,2021-02-22
he-indexrewards,dkid14,ARCHON,0.002,2021-02-22
he-indexrewards,srmallara,ARCHON,0.002,2021-02-22
he-indexrewards,no-advice,ARCHON,0.002,2021-02-22
he-indexrewards,salexa5,ARCHON,0.002,2021-02-22
he-indexrewards,curtawakening,ARCHON,0.002,2021-02-22
he-indexrewards,hirohurl,ARCHON,0.002,2021-02-22
he-indexrewards,enginewitty,ARCHON,0.002,2021-02-22
he-indexrewards,gogreenbuddy,ARCHON,0.002,2021-02-22
he-indexrewards,chronocrypto,ARCHON,0.003,2021-02-22
he-indexrewards,silverstackeruk,ARCHON,0.003,2021-02-22
he-indexrewards,ericburgoyne,ARCHON,0.003,2021-02-22
he-indexrewards,alokkumar121,ARCHON,0.003,2021-02-22
he-indexrewards,deepresearch,ARCHON,0.003,2021-02-22
he-indexrewards,shmoogleosukami,ARCHON,0.004,2021-02-22
he-indexrewards,brofund,ARCHON,0.004,2021-02-22
he-indexrewards,discohedge,ARCHON,0.004,2021-02-22
he-indexrewards,blue.rabbit,ARCHON,0.004,2021-02-22
he-indexrewards,tandara,ARCHON,0.008,2021-02-22
he-indexrewards,elianaicgomes,ARCHON,0.008,2021-02-22
he-indexrewards,chmoen,ARCHON,0.010,2021-02-22
he-indexrewards,torrey.blog,ARCHON,0.010,2021-02-22
he-indexrewards,taskmaster4450,ARCHON,0.010,2021-02-22
he-indexrewards,jongolson,ARCHON,0.024,2021-02-22
he-indexrewards,peerfinance,ARCHON,0.027,2021-02-22
he-indexrewards,blainjones,ARCHON,0.031,2021-02-22
he-indexrewards,achim03,ARCHON,0.003,2021-02-22
he-indexrewards,jongolson,ARCHON,0.005,2021-02-22
he-indexrewards,blainjones,ARCHON,0.005,2021-02-22
he-indexrewards,he-indexadmin,ARCHON,0.014,2021-02-22
he-indexrewards,he-index,ARCHON,0.027,2021-02-22
he-indexrewards,investinthefutur,ARCHON,0.001,2021-02-21
he-indexrewards,cryptocanny,ARCHON,0.001,2021-02-21
he-indexrewards,drax.leo,ARCHON,0.001,2021-02-21
he-indexrewards,andrewn,ARCHON,0.001,2021-02-21
he-indexrewards,cryptictruth,ARCHON,0.001,2021-02-21
he-indexrewards,bashadow,ARCHON,0.001,2021-02-21
he-indexrewards,okean123,ARCHON,0.001,2021-02-21
he-indexrewards,melinda010100,ARCHON,0.001,2021-02-21
he-indexrewards,vincentnijman,ARCHON,0.001,2021-02-21
he-indexrewards,cmplxty,ARCHON,0.001,2021-02-21
he-indexrewards,nathanmars,ARCHON,0.001,2021-02-21
he-indexrewards,eirik,ARCHON,0.001,2021-02-21
he-indexrewards,adambarratt,ARCHON,0.001,2021-02-21
he-indexrewards,forykw,ARCHON,0.001,2021-02-21
he-indexrewards,nikoleondas,ARCHON,0.001,2021-02-21
he-indexrewards,rarej,ARCHON,0.001,2021-02-21
he-indexrewards,lammbock,ARCHON,0.001,2021-02-21
he-indexrewards,drax,ARCHON,0.001,2021-02-21
he-indexrewards,coyotelation,ARCHON,0.001,2021-02-21
he-indexrewards,ammonite,ARCHON,0.001,2021-02-21
he-indexrewards,gungunkrishu,ARCHON,0.001,2021-02-21
he-indexrewards,filotasriza3,ARCHON,0.001,2021-02-21
he-indexrewards,theroad2freedom,ARCHON,0.001,2021-02-21
he-indexrewards,netaterra,ARCHON,0.001,2021-02-21
he-indexrewards,lisamgentile1961,ARCHON,0.001,2021-02-21
he-indexrewards,fiberfrau,ARCHON,0.001,2021-02-21
he-indexrewards,pm522przemek,ARCHON,0.001,2021-02-21
he-indexrewards,thatcryptodave,ARCHON,0.001,2021-02-21
he-indexrewards,jangle,ARCHON,0.001,2021-02-21
he-indexrewards,pardinus,ARCHON,0.001,2021-02-21
he-indexrewards,cryptosimplify,ARCHON,0.001,2021-02-21
he-indexrewards,successchar,ARCHON,0.001,2021-02-21
he-indexrewards,scooter77,ARCHON,0.001,2021-02-21
he-indexrewards,uyobong.venture,ARCHON,0.001,2021-02-21
he-indexrewards,road2nowhere,ARCHON,0.002,2021-02-21
he-indexrewards,cwow2,ARCHON,0.002,2021-02-21
he-indexrewards,maddogmike,ARCHON,0.002,2021-02-21
he-indexrewards,velourex,ARCHON,0.002,2021-02-21
he-indexrewards,inertia,ARCHON,0.002,2021-02-21
he-indexrewards,thelogicaldude,ARCHON,0.002,2021-02-21
he-indexrewards,anthonypslate,ARCHON,0.002,2021-02-21
he-indexrewards,bradleyarrow,ARCHON,0.002,2021-02-21
he-indexrewards,knowhow92,ARCHON,0.002,2021-02-21
he-indexrewards,elizabetamt,ARCHON,0.002,2021-02-21
he-indexrewards,jeffjagoe,ARCHON,0.002,2021-02-21
he-indexrewards,ghcamry,ARCHON,0.002,2021-02-21
he-indexrewards,leosoph,ARCHON,0.002,2021-02-21
he-indexrewards,oldmans,ARCHON,0.002,2021-02-21
he-indexrewards,freesinger,ARCHON,0.002,2021-02-21
he-indexrewards,abrockman,ARCHON,0.002,2021-02-21
he-indexrewards,partitura,ARCHON,0.002,2021-02-21
he-indexrewards,dfacademy,ARCHON,0.002,2021-02-21
he-indexrewards,mytechtrail,ARCHON,0.002,2021-02-21
he-indexrewards,jzn,ARCHON,0.002,2021-02-21
he-indexrewards,roger.remix,ARCHON,0.002,2021-02-21
he-indexrewards,niallon11,ARCHON,0.003,2021-02-21
he-indexrewards,russellstockley,ARCHON,0.003,2021-02-21
he-indexrewards,dkid14,ARCHON,0.004,2021-02-21
he-indexrewards,srmallara,ARCHON,0.004,2021-02-21
he-indexrewards,no-advice,ARCHON,0.004,2021-02-21
he-indexrewards,salexa5,ARCHON,0.004,2021-02-21
he-indexrewards,curtawakening,ARCHON,0.004,2021-02-21
he-indexrewards,hirohurl,ARCHON,0.004,2021-02-21
he-indexrewards,gogreenbuddy,ARCHON,0.004,2021-02-21
he-indexrewards,chronocrypto,ARCHON,0.005,2021-02-21
he-indexrewards,silverstackeruk,ARCHON,0.005,2021-02-21
he-indexrewards,ericburgoyne,ARCHON,0.005,2021-02-21
he-indexrewards,alokkumar121,ARCHON,0.006,2021-02-21
he-indexrewards,deepresearch,ARCHON,0.006,2021-02-21
he-indexrewards,enginewitty,ARCHON,0.007,2021-02-21
he-indexrewards,brofund,ARCHON,0.007,2021-02-21
he-indexrewards,shmoogleosukami,ARCHON,0.007,2021-02-21
he-indexrewards,discohedge,ARCHON,0.007,2021-02-21
he-indexrewards,blue.rabbit,ARCHON,0.008,2021-02-21
he-indexrewards,tandara,ARCHON,0.016,2021-02-21
he-indexrewards,elianaicgomes,ARCHON,0.016,2021-02-21
he-indexrewards,chmoen,ARCHON,0.019,2021-02-21
he-indexrewards,torrey.blog,ARCHON,0.019,2021-02-21
he-indexrewards,taskmaster4450,ARCHON,0.019,2021-02-21
he-indexrewards,jongolson,ARCHON,0.045,2021-02-21
he-indexrewards,peerfinance,ARCHON,0.054,2021-02-21
he-indexrewards,blainjones,ARCHON,0.060,2021-02-21
he-indexrewards,achim03,ARCHON,0.005,2021-02-21
he-indexrewards,jongolson,ARCHON,0.011,2021-02-21
he-indexrewards,blainjones,ARCHON,0.011,2021-02-21
he-indexrewards,he-indexadmin,ARCHON,0.027,2021-02-21
he-indexrewards,he-index,ARCHON,0.053,2021-02-21
he-indexrewards,nedred,ARCHON,0.001,2021-02-20
he-indexrewards,r1s2g3,ARCHON,0.001,2021-02-20
he-indexrewards,moonthumb,ARCHON,0.001,2021-02-20
he-indexrewards,academialibertad,ARCHON,0.001,2021-02-20
he-indexrewards,bitandi,ARCHON,0.001,2021-02-20
he-indexrewards,imfarhad,ARCHON,0.001,2021-02-20
he-indexrewards,starstrings01,ARCHON,0.001,2021-02-20
he-indexrewards,bozz,ARCHON,0.001,2021-02-20
he-indexrewards,sumatranate,ARCHON,0.001,2021-02-20
he-indexrewards,investinthefutur,ARCHON,0.001,2021-02-20
he-indexrewards,cryptocanny,ARCHON,0.001,2021-02-20
he-indexrewards,drax.leo,ARCHON,0.001,2021-02-20
he-indexrewards,andrewn,ARCHON,0.001,2021-02-20
he-indexrewards,cryptictruth,ARCHON,0.001,2021-02-20
he-indexrewards,bashadow,ARCHON,0.001,2021-02-20
he-indexrewards,okean123,ARCHON,0.001,2021-02-20
he-indexrewards,melinda010100,ARCHON,0.001,2021-02-20
he-indexrewards,vincentnijman,ARCHON,0.001,2021-02-20
he-indexrewards,cmplxty,ARCHON,0.001,2021-02-20
he-indexrewards,forykw,ARCHON,0.001,2021-02-20
he-indexrewards,nikoleondas,ARCHON,0.001,2021-02-20
he-indexrewards,eirik,ARCHON,0.001,2021-02-20
he-indexrewards,nathanmars,ARCHON,0.001,2021-02-20
he-indexrewards,adambarratt,ARCHON,0.001,2021-02-20
he-indexrewards,rarej,ARCHON,0.001,2021-02-20
he-indexrewards,lammbock,ARCHON,0.001,2021-02-20
he-indexrewards,drax,ARCHON,0.001,2021-02-20
he-indexrewards,coyotelation,ARCHON,0.001,2021-02-20
he-indexrewards,ammonite,ARCHON,0.001,2021-02-20
he-indexrewards,gungunkrishu,ARCHON,0.001,2021-02-20
he-indexrewards,filotasriza3,ARCHON,0.001,2021-02-20
he-indexrewards,theroad2freedom,ARCHON,0.001,2021-02-20
he-indexrewards,paxjulia,ARCHON,0.001,2021-02-20
he-indexrewards,netaterra,ARCHON,0.001,2021-02-20
he-indexrewards,lisamgentile1961,ARCHON,0.001,2021-02-20
he-indexrewards,fiberfrau,ARCHON,0.001,2021-02-20
he-indexrewards,pm522przemek,ARCHON,0.001,2021-02-20
he-indexrewards,thatcryptodave,ARCHON,0.001,2021-02-20
he-indexrewards,jangle,ARCHON,0.001,2021-02-20
he-indexrewards,rezoanulv.sports,ARCHON,0.001,2021-02-20
he-indexrewards,pardinus,ARCHON,0.001,2021-02-20
he-indexrewards,cryptosimplify,ARCHON,0.002,2021-02-20
he-indexrewards,successchar,ARCHON,0.002,2021-02-20
he-indexrewards,uyobong.venture,ARCHON,0.002,2021-02-20
he-indexrewards,scooter77,ARCHON,0.002,2021-02-20
he-indexrewards,road2nowhere,ARCHON,0.002,2021-02-20
he-indexrewards,cwow2,ARCHON,0.002,2021-02-20
he-indexrewards,maddogmike,ARCHON,0.002,2021-02-20
he-indexrewards,velourex,ARCHON,0.002,2021-02-20
he-indexrewards,inertia,ARCHON,0.002,2021-02-20
he-indexrewards,thelogicaldude,ARCHON,0.002,2021-02-20
he-indexrewards,anthonypslate,ARCHON,0.002,2021-02-20
he-indexrewards,bradleyarrow,ARCHON,0.003,2021-02-20
he-indexrewards,knowhow92,ARCHON,0.003,2021-02-20
