from,to,symbol,quantity,date
spi-payments,honeysaver,SPI,0.01,2021-02-15
spi-payments,vipservice,SPI,0.19,2021-02-15
spi-payments,jmsansan.leo,SPI,0.03,2021-02-15
spi-payments,brofundholdings,SPI,2.4,2021-02-15
spi-payments,bashadow,SPI,0.02,2021-02-15
spi-payments,cryptictruth,SPI,0.02,2021-02-15
spi-payments,leoneil,SPI,0.02,2021-02-15
spi-payments,rxhector,SPI,0.01,2021-02-15
spi-payments,anderssinho,SPI,0.01,2021-02-15
spi-payments,alexvan,SPI,0.01,2021-02-15
spi-payments,he-index,SPI,0.04,2021-02-15
spi-payments,risingstar2,SPI,0.01,2021-02-15
spi-payments,nickyhavey,SPI,0.02,2021-02-15
spi-payments,myvest,SPI,0.83,2021-02-15
spi-payments,theroad2freedom,SPI,0.01,2021-02-15
spi-payments,hykss,SPI,0.08,2021-02-15
spi-payments,enginewitty,SPI,0.01,2021-02-15
spi-payments,notaboutme,SPI,0.09,2021-02-15
spi-payments,adambarratt,SPI,0.09,2021-02-15
spi-payments,khan.dayyanz,SPI,0.01,2021-02-15
spi-payments,themightyvolcano,SPI,4.39,2021-02-15
spi-payments,tiffin,SPI,0.01,2021-02-15
spi-payments,elbiasto,SPI,0.01,2021-02-15
spi-payments,blue.rabbit,SPI,0.09,2021-02-15
spi-payments,coronadino,SPI,0.05,2021-02-15
spi-payments,definethedollar,SPI,0.02,2021-02-15
spi-payments,steliosfan,SPI,0.01,2021-02-15
spi-payments,edicted,SPI,0.01,2021-02-15
spi-payments,roleerob,SPI,0.09,2021-02-15
spi-payments,nealmcspadden,SPI,0.01,2021-02-15
spi-payments,gadrian,SPI,0.02,2021-02-15
spi-payments,katerinaramm,SPI,0.01,2021-02-15
spi-payments,shanghaipreneur,SPI,0.01,2021-02-15
spi-payments,purefood,SPI,0.02,2021-02-15
spi-payments,bearjohn,SPI,0.01,2021-02-15
spi-payments,mktmaker,SPI,0.01,2021-02-15
spi-payments,aggroed,SPI,0.03,2021-02-15
spi-payments,swelker101,SPI,0.02,2021-02-15
spi-payments,isaria,SPI,0.01,2021-02-15
spi-payments,followbtcnews,SPI,0.01,2021-02-15
spi-payments,danielsaori,SPI,0.01,2021-02-15
spi-payments,crimsonclad,SPI,0.01,2021-02-15
spi-payments,kubbyelizabeth,SPI,0.01,2021-02-15
spi-payments,oldtimer,SPI,0.01,2021-02-15
spi-payments,sircock,SPI,0.01,2021-02-15
spi-payments,inertia,SPI,0.03,2021-02-15
